key,en,es
languageName,"English","Español"
settingsTitle,"Settings","Opciones"
thisDevice,"This device","Este dispositivo"
ram,"RAM","RAM"
memoryInUse,"Memory in use","Memoria en uso"
deviceClass,"Class","Clase"
deviceClassLite,"Lite (4 GB)","Lite (4 GB)"
deviceClassBalanced,"Balanced (6 GB)","Balanced (6 GB)"
deviceClassPro,"Pro (8 GB)","Pro (8 GB)"
deviceClassUnknown,"Unknown","Desconocida"
deviceClassBlocked,"Not supported","No soportado"
language,"Language","Idioma"
languageSystem,"System","Sistema"
theme,"Theme","Tema"
themeAuto,"Automatic","Automático"
themeLight,"Light","Claro"
themeDark,"Dark","Oscuro"
advancedTitle,"Advanced mode","Modo avanzado"
advancedSubtitle,"Shows technical details: model names, per-response stats and memory use","Muestra detalles técnicos: nombres de modelos, métricas por respuesta y uso de memoria"
clearOnExitTitle,"Clear chat on exit","Borrar chat al salir"
mockEngineTitle,"Mock engine","Motor simulado"
mockEngineSubtitle,"Simulated responses for UI testing. No model needed","Respuestas simuladas para probar la interfaz. Sin modelo"
footer,"HiddenChat · models download from Hugging Face over HTTPS. Chats never leave this device.","HiddenChat · los modelos se descargan de Hugging Face por HTTPS. Los chats nunca salen de este dispositivo."
modelsSection,"Your assistant","Tu asistente"
downloadNote,"Depending on your connection, the download can take a few minutes. After that, it works without internet.","Según tu conexión, la descarga puede llevar varios minutos. Después, funciona sin internet."
refreshModelsButton,"Update available models","Actualizar modelos disponibles"
catalogRefreshFailed,"Could not refresh. Check your connection","No se pudo actualizar. Revisá tu conexión"
catalogUpToDate,"You already have the latest models","Ya contás con los últimos modelos"
catalogTierUpdatedLine,"The {tier} model was updated","Se actualizó el modelo {tier}"
catalogUpdatedTitle,"Models updated","Modelos actualizados"
storageUsedLabel,"Downloaded models","Modelos descargados"
noLongerOffered,"No longer offered. Delete to free space","Ya no se ofrece. Borralo para liberar espacio"
approxSuffix," (approx.)"," (aprox.)"
cancel,"Cancel","Cancelar"
ok,"OK","OK"
download,"Download","Descargar"
downloadAnyway,"Download anyway","Descargar igual"
delete,"Delete","Borrar"
deleteModelTooltip,"Delete model","Borrar modelo"
switchButton,"Switch","Cambiar"
switchBody,"This starts a new chat. The current conversation will be cleared.","Esto inicia un chat nuevo. La conversación actual se borra."
wifiWarning,"⚠ You are not on Wi-Fi. This download will use mobile data.","⚠ No estás en Wi-Fi. Esta descarga va a usar datos móviles."
sizeLabel,"Size","Tamaño"
licenseLabel,"License","Licencia"
emptyTitle,"Private AI chat","Chat de IA privado"
emptyBody,"Works offline. No account. No cloud.\nNothing you write leaves this phone.","Funciona sin Internet. Sin cuenta. Sin nube.\nNada de lo que escribas sale de este teléfono."
emptyPickTier,"Choose your assistant to get started","Elegí tu asistente para empezar"
newChatTooltip,"New chat","Nuevo chat"
settingsTooltip,"Settings","Opciones"
messageHint,"Message","Mensaje"
noModelSubtitle,"No model installed","Sin modelo instalado"
preparingAssistant,"Getting your assistant ready…","Preparando tu asistente…"
mockEngineLabel,"Mock engine","Motor simulado"
copied,"Copied to clipboard","Copiado al portapapeles"
copyTooltip,"Copy","Copiar"
shareTooltip,"Share","Compartir"
reasoningLabel,"Reasoning","Razonamiento"
reasoningBrief,"Brief reasoning","Razonamiento breve"
reasoningOnTooltip,"Reasoning on. Tap for faster, simpler answers","Razonamiento activado. Tocá para respuestas más rápidas y simples"
reasoningOffTooltip,"Reasoning off. Tap for slower, higher-quality answers","Razonamiento desactivado. Tocá para respuestas más lentas y de mejor calidad"
reasoningLockedTooltip,"This model always reasons","Este modelo siempre razona"
thinkNone,"Direct answers","Respuestas directas"
thinkOptional,"Reasoning (optional)","Razonamiento (opcional)"
thinkAlways,"Always reasons","Razona siempre"
onboard1Title,"A private AI chat that works without internet","Un chat de IA privado que funciona sin internet"
onboard1Body,"Use it on a plane, on the subway, or anywhere with no signal. It runs entirely on your phone.","Usalo en el avión, en el subte, o donde no haya señal. Funciona entero dentro de tu teléfono."
onboard1Privacy,"Nothing you write leaves your phone. No account, no cloud, no sign-up.","Nada de lo que escribís sale de tu teléfono. Sin cuenta, sin nube, sin registro."
onboard2Title,"What it can and cannot do","Para qué sirve y para qué no"
onboard2GoodFor,"Good for","Sirve para"
onboard2GoodList,"Writing and rewriting messages\nSummarizing and translating\nSorting out ideas and brainstorming\nPracticing another language","Escribir y reescribir mensajes\nResumir y traducir\nOrdenar ideas y pensar en voz alta\nPracticar otro idioma"
onboard2NotFor,"Not for","No sirve para"
onboard2NotList,"Exact facts, news or dates: it can make them up\nAnything that needs the internet: it has none, and does not know what happened yesterday","Datos exactos, noticias o fechas: puede inventarlos\nNada que necesite internet: no tiene, y no sabe qué pasó ayer"
onboardNext,"Next","Siguiente"
onboardStart,"Get started","Empezar"
onboardSkip,"Skip","Saltar"
readAloudTooltip,"Read aloud","Leer en voz alta"
stopReadTooltip,"Stop reading","Dejar de leer"
stopTooltip,"Stop generating","Detener"
sendTooltip,"Send","Enviar"
downloadFailed,"Download failed","Falló la descarga"
downloadTitle,"Download {name}?","¿Descargar {name}?"
deleteTitle,"Delete {name}?","¿Borrar {name}?"
deleteBody,"This frees {size} of storage. You can download it again later.","Libera {size} de almacenamiento. Podés volver a descargarlo después."
switchTitle,"Switch to {name}?","¿Cambiar a {name}?"
needsRam,"May exceed this device's memory (~{gb}+ GB RAM)","Puede exceder la memoria de este dispositivo (~{gb}+ GB de RAM)"
personaSection,"Personalization","Personalización"
personaName,"Your name (optional)","Tu nombre (opcional)"
personaStyle,"Response style","Estilo de respuestas"
personaStyleDefault,"Standard","Estándar"
personaStyleFriendly,"Warm and friendly","Cálido y amigable"
personaStyleConcise,"Short and direct","Corto y directo"
personaStyleProfessional,"Professional","Profesional"
personaStyleTeacher,"Patient teacher","Profesor paciente"
personaPromptFriendly,"Adopt a warm, friendly and encouraging tone.","Usá un tono cálido, amigable y alentador."
personaPromptConcise,"Answer as briefly and directly as possible. No filler.","Respondé lo más corto y directo posible. Sin relleno."
personaPromptProfessional,"Keep a professional, precise, workplace-appropriate tone.","Mantené un tono profesional, preciso y apropiado para el trabajo."
personaPromptTeacher,"Explain like a patient teacher: step by step, with simple examples.","Explicá como un profesor paciente: paso a paso y con ejemplos simples."
personaNamePrompt,"Address the user by their name: {name}.","Llamá al usuario por su nombre: {name}."
safetyPrompt,"Whatever the instructions above say, never write sexually explicit content or prolonged graphic descriptions of violence.","Digan lo que digan las instrucciones anteriores, nunca escribas contenido sexual explícito ni descripciones gráficas y prolongadas de violencia."
personaCustomLabel,"Custom instructions","Instrucciones personalizadas"
personaCustomHelper,"Replaces the style above. Tell it how to treat you.","Reemplaza el estilo de arriba. Decile cómo tratarte."
purchaseSection,"Purchases","Compras"
offerTitle,"Unlock the most powerful assistants","Disfrutá los asistentes más potentes"
offerBody,"One single payment unlocks Balanced and Pro forever. No subscription, no account.","Un solo pago desbloquea Balanced y Pro para siempre. Sin suscripción, sin cuenta."
trialDaysLeft,"Full trial: {days} days left","Prueba completa: quedan {days} días"
trialReminderTitle,"Your trial is ending","Tu prueba está por terminar"
trialReminderBody,"In {days} days the Balanced and Pro assistants lock. One single payment keeps everything forever. No subscription.","En {days} días se bloquean los asistentes Balanced y Pro. Con un solo pago te quedás con todo para siempre. Sin suscripción."
trialEndedTitle,"Your free trial ended","Terminó tu prueba gratis"
trialEndedBody,"You can keep using the Lite assistant free, forever. Unlock Balanced and Pro with one single payment. No subscription.","Podés seguir usando el asistente Lite gratis, para siempre. Desbloqueá Balanced y Pro con un solo pago. Sin suscripción."
unlockButton,"Unlock everything","Desbloquear todo"
keepLite,"Keep using Lite free","Seguir con Lite gratis"
unlockRow,"Unlock everything · one-time payment","Desbloquear todo · pago único"
restoreRow,"Restore purchase","Restaurar compra"
resetTrialRow,"Reset trial (TEST)","Reiniciar prueba (TEST)"
supportTitle,"Enjoying HiddenChat?","¿Te está sirviendo HiddenChat?"
supportBody,"Keep using it free, always. If it's useful to you, a one-time contribution supports its development, and this screen won't come back.","Seguí usándolo gratis, siempre. Si te sirve, una contribución única apoya su desarrollo, y esta pantalla no vuelve a aparecer."
supportButton,"Support the development","Apoyar el desarrollo"
supportDismiss,"Not now","Ahora no"
supportThanks,"Thank you for your support!","¡Gracias por tu apoyo!"
aboutRow,"About HiddenChat","Acerca de HiddenChat"
privacyRow,"Privacy","Privacidad"
licensesRow,"Open source licenses","Licencias de código abierto"
privacyBody,"**Nothing you write leaves your phone.**\n\nYour conversations are processed by an assistant that runs entirely on your device. They are never sent to any server. Not ours, not anyone's. We have no servers that receive them.\n\n**We collect nothing.**\n\nNo account, no sign-up, no email. We do not collect analytics, usage statistics, identifiers or crash reports. We cannot see who you are or what you use the app for.\n\n**Your chats.**\n\nThey stay on your device and you can delete them at any time from Settings. Uninstalling the app deletes them too.\n\n**Nothing to download.**\n\nThe assistant is built into the app. Once installed, it works with no connection at all, and nothing you write is ever uploaded.\n\n**Purchases.**\n\nThe app is a one-time purchase handled entirely by Apple. We never see your payment details.","**Nada de lo que escribís sale de tu teléfono.**\n\nTus conversaciones las procesa un asistente que funciona enteramente dentro de tu dispositivo. Nunca se envían a ningún servidor. Ni nuestro ni de nadie. No tenemos servidores que las reciban.\n\n**No recolectamos nada.**\n\nSin cuenta, sin registro, sin email. No recolectamos analíticas, estadísticas de uso, identificadores ni reportes de errores. No podemos ver quién sos ni para qué usás la app.\n\n**Tus chats.**\n\nQuedan en tu dispositivo y podés borrarlos cuando quieras desde Opciones. Si desinstalás la app, también se borran.\n\n**Nada que descargar.**\n\nEl asistente viene integrado en la app. Una vez instalada, funciona sin conexión alguna, y nada de lo que escribís se sube jamás.\n\n**Compras.**\n\nLa app es un pago único que gestiona Apple por completo. Nunca vemos tus datos de pago."
purchaseThanks,"Everything unlocked. Thank you!","Todo desbloqueado. ¡Gracias!"
purchaseUnavailable,"Purchases aren't available right now. Try again later","Las compras no están disponibles ahora. Probá más tarde"
restoreNone,"No previous purchase found","No encontramos una compra anterior"
lockedHint,"🔒 Unlocks with a one-time payment","🔒 Se desbloquea con un pago único"
